"winner","winner_seeding","winner_flag","loser","loser_seeding","loser_flag","score","round","year","winner_country","loser_country","winner_type","loser_type"
"Roger Federer",1,"SUI","Rafael Nadal",2,"ESP","60 765 672 63","Finals",2006,"Switzerland","Spain",,
"Tomas Zib",,"CZE","Jose Acasuso",,"ARG","75 63 63","Round of 128",2005,"Czech Republic","Argentina",,
"Danai Udomchoke",,"THA","Stefan Koubek",,"AUT","57 64 46 63 86","Round of 128",2005,"Thailand","Austria","qualifier",
"Dmitry Tursunov",,"RUS","Nicolas Almagro",,"ESP","762 764 61","Round of 128",2005,"Russia","Spain",,
"David Sherwood",,"GBR","Ricardo Mello",,"BRA","63 64 64","Round of 128",2005,"Great Britain","Brazil","wildcard",
"Fabrice Santoro",,"FRA","Stan Wawrinka",,"SUI","62 677 75 61","Round of 128",2005,"France","Switzerland",,
"Davide Sanguinetti",,"ITA","Andreas Seppi",,"ITA","63 62 61","Round of 128",2005,"Italy","Italy",,"qualifier"
"Greg Rusedski",,"GBR","Alberto Martin",,"ESP","63 46 62 61","Round of 128",2005,"Great Britain","Spain",,
"Alexander Popp",,"GER","Jerome Haehnel",,"FRA","62 63 26 64","Round of 128",2005,"Germany","France",,
"Mark Philippoussis",,"AUS","Karol Beck",,"SVK","75 64 62","Round of 128",2005,"Australia","Slovakia","wildcard",
"Andrei Pavel",,"ROU","Roko Karanusic",,"CRO","62 46 62 64","Round of 128",2005,"Romania","Croatia",,"qualifier"
"Andy Murray",,"GBR","George Bastl",,"SUI","64 62 62","Round of 128",2005,"Great Britain","Switzerland","wildcard","qualifier"
"Gilles Muller",,"LUX","Felix Mantilla",,"ESP","54 (RET)","Round of 128",2005,"Luxembourg","Spain",,
"Gael Monfils",,"FRA","Noam Okun",,"ISR","36 64 64 7614","Round of 128",2005,"France","Israel",,"qualifier"
"Max Mirnyi",,"BLR","Rainer Schuettler",,"GER","63 63 64","Round of 128",2005,"Belarus","Germany",,
"Ivo Minar",,"CZE","Michal Tabara",,"CZE","64 64 64","Round of 128",2005,"Czech Republic","Czech Republic",,
"Florian Mayer",,"GER","Santiago Ventura",,"ESP","64 75 62","Round of 128",2005,"Germany","Spain",,
"Xavier Malisse",,"BEL","Jonathan Marray",,"GBR","63 36 26 61 64","Round of 128",2005,"Belgium","Great Britain",,"wildcard"
"Yen-Hsun Lu",,"TPE","Arnaud Clement",,"FRA","764 06 61 36 63","Round of 128",2005,"Chinese Taipei","France","qualifier","qualifier"
"Jean-Rene Lisnard",,"MON","Oscar Hernandez",,"ESP","64 21 (RET)","Round of 128",2005,"Monaco","Spain",,
"Hyung-Taik Lee",,"KOR","Thomas Enqvist",,"SWE","63 674 75 64","Round of 128",2005,"South Korea","Sweden",,
"Karol Kucera",,"SVK","Luis Horna",,"PER","46 63 63 64","Round of 128",2005,"Slovakia","Peru",,
"Kevin Kim",,"USA","Alex Bogdanovic",,"GBR","674 61 64 62","Round of 128",2005,"United States","Great Britain",,"wildcard"
"Jan Hernych",,"CZE","James Blake",,"USA","16 64 766 764","Round of 128",2005,"Czech Republic","United States",,"wildcard"
"Victor Hanescu",,"ROU","Kenneth Carlsen",,"DEN","672 764 63 57 64","Round of 128",2005,"Romania","Denmark",,
"Justin Gimelstob",,"USA","Adrian Garcia",,"CHI","63 64 765","Round of 128",2005,"United States","Chile","lucky loser","qualifier"
"Gilles Elseneer",,"BEL","Potito Starace",,"ITA","63 769 63","Round of 128",2005,"Belgium","Italy","qualifier",
"Novak Djokovic",,"SRB","Juan Monaco",,"ARG","63 765 63","Round of 128",2005,"Serbia","Argentina","qualifier",
"Alessio Di Mauro",,"ITA","Josh Goodall",,"GBR","63 764 63","Round of 128",2005,"Italy","Great Britain",,"wildcard"
"Alex Calatrava",,"ESP","Tuomas Ketola",,"FIN","64 764 64","Round of 128",2005,"Spain","Finland",,"qualifier"
"Daniele Bracciali",,"ITA","Ivo Karlovic",,"CRO","674 768 36 765 1210","Round of 128",2005,"Italy","Croatia","lucky loser",
"Jonas Bjorkman",,"SWE","Jeff Morrison",,"USA","63 63 46 26 62","Round of 128",2005,"Sweden","United States",,"qualifier"
"Tomas Berdych",,"CZE","Antony Dupuis",,"FRA","765 75 36 764","Round of 128",2005,"Czech Republic","France",,"qualifier"
"Olivier Rochus",33,"BEL","Paul Goldstein",,"USA","64 62 62","Round of 128",2005,"Belgium","United States",,"lucky loser"
"Wayne Arthurs",,"AUS","Filippo Volandri",32,"ITA","63 64 64","Round of 128",2005,"Australia","Italy",,
"Mikhail Youzhny",31,"RUS","Marcos Baghdatis",,"CYP","62 36 61 64","Round of 128",2005,"Russia","Cyprus",,
"Igor Andreev",,"RUS","Robin Soderling",30,"SWE","673 75 61 75","Round of 128",2005,"Russia","Sweden",,
"Nicolas Massu",29,"CHI","Sargis Sargsian",,"ARM","767 63 64","Round of 128",2005,"Chile","Armenia",,
"Jiri Novak",28,"CZE","Peter Wessels",,"NED","764 63 64","Round of 128",2005,"Czech Republic","Netherlands",,
"Richard Gasquet",27,"FRA","Philipp Kohlschreiber",,"GER","63 36 63 62","Round of 128",2005,"France","Germany",,
"Feliciano Lopez",26,"ESP","Bjorn Phau",,"GER","57 768 675 62 64","Round of 128",2005,"Spain","Germany",,
"Nicolas Kiefer",25,"GER","Julien Benneteau",,"FRA","63 765 57 36 64","Round of 128",2005,"Germany","France",,
"Taylor Dent",24,"USA","Dick Norman",,"BEL","764 764 46 677 61","Round of 128",2005,"United States","Belgium",,"qualifier"
"Juan Carlos Ferrero",23,"ESP","Jamie Delgado",,"GBR","762 61 64","Round of 128",2005,"Spain","Great Britain",,"qualifier"
"Dominik Hrbaty",22,"SVK","Cyril Saulnier",,"FRA","760 60 62","Round of 128",2005,"Slovakia","France",,
"Fernando Gonzalez",21,"CHI","Alan Mackin",,"GBR","63 64 64","Round of 128",2005,"Chile","Great Britain",,"wildcard"
"Jurgen Melzer",,"AUT","Ivan Ljubicic",20,"CRO","64 64 64","Round of 128",2005,"Austria","Croatia",,
"Janko Tipsarevic",,"SRB","Tommy Haas",19,"GER","62 21 (RET)","Round of 128",2005,"Serbia","Germany",,
