"winner","winner_seeding","winner_flag","loser","loser_seeding","loser_flag","score","round","year","winner_country","loser_country","winner_type","loser_type"
"Jimmy Wang",,"TPE","Alejandro Gonzalez",,"COL","63 63 62","Round of 128",2014,"Chinese Taipei","Colombia","qualifier",
"Jiri Vesely",,"CZE","Victor Estrella Burgos",,"DOM","51 (RET)","Round of 128",2014,"Czech Republic","Dominican Republic","wildcard",
"Bernard Tomic",,"AUS","Evgeny Donskoy",,"RUS","64 63 62","Round of 128",2014,"Australia","Russia",,
"Radek Stepanek",,"CZE","Pablo Cuevas",,"URU","62 64 64","Round of 128",2014,"Czech Republic","Uruguay",,
"Sergiy Stakhovsky",,"UKR","Carlos Berlocq",,"ARG","63 63 63","Round of 128",2014,"Ukraine","Argentina",,
"Jack Sock",,"USA","Pierre-Hugues Herbert",,"FRA","675 62 765 64","Round of 128",2014,"United States","France",,"qualifier"
"Gilles Simon",,"FRA","Konstantin Kravchuk",,"RUS","62 764 75","Round of 128",2014,"France","Russia",,"qualifier"
"Luke Saville",,"AUS","Dominic Thiem",,"AUT","75 64 36 64","Round of 128",2014,"Australia","Austria","qualifier",
"Lukas Rosol",,"CZE","Benoit Paire",,"FRA","63 36 765 64","Round of 128",2014,"Czech Republic","France",,
"Blaz Rola",,"SLO","Pablo Andujar",,"ESP","63 61 64","Round of 128",2014,"Slovenia","Spain",,
"Edouard Roger-Vasselin",,"FRA","Filippo Volandri",,"ITA","761 62 64","Round of 128",2014,"France","Italy",,
"Julian Reister",,"GER","Michael Russell",,"USA","64 64 675 46 75","Round of 128",2014,"Germany","United States",,
"Sam Querrey",,"USA","Bradley Klahn",,"USA","675 64 61 75","Round of 128",2014,"United States","United States",,
"Tim Puetz",,"GER","Teymuraz Gabashvili",,"RUS","26 64 62 62","Round of 128",2014,"Germany","Russia","qualifier",
"Ante Pavic",,"CRO","Alejandro Falla",,"COL","64 63 75","Round of 128",2014,"Croatia","Colombia","qualifier",
"Jarkko Nieminen",,"FIN","Federico Delbonis",,"ARG","63 763 75","Round of 128",2014,"Finland","Argentina",,
"Gilles Muller",,"LUX","Julien Benneteau",,"FRA","64 766 765","Round of 128",2014,"Luxembourg","France","qualifier",
"Adrian Mannarino",,"FRA","Pere Riba",,"ESP","62 63 64","Round of 128",2014,"France","Spain",,
"Yen-Hsun Lu",,"TPE","Aleksandr Nedovyesov",,"KAZ","64 46 64 16 61","Round of 128",2014,"Chinese Taipei","Kazakhstan",,
"Nick Kyrgios",,"AUS","Stephane Robert",,"FRA","762 761 676 62","Round of 128",2014,"Australia","France","wildcard",
"Andrey Kuznetsov",,"RUS","Daniel Evans",,"GBR","61 75 36 765","Round of 128",2014,"Russia","Great Britain",,"wildcard"
"Mikhail Kukushkin",,"KAZ","Dudi Sela",,"ISR","64 64 64","Round of 128",2014,"Kazakhstan","Israel",,
"Denis Kudla",,"USA","Marsel Ilhan",,"TUR","763 64 46 75","Round of 128",2014,"United States","Turkey","qualifier","qualifier"
"Lukasz Kubot",,"POL","Jan-Lennard Struff",,"GER","766 64 64","Round of 128",2014,"Poland","Germany",,
"Lleyton Hewitt",,"AUS","Michal Przysiezny",,"POL","62 6714 61 64","Round of 128",2014,"Australia","Poland",,
"Jan Hernych",,"CZE","Tobias Kamke",,"GER","63 675 63 57 64","Round of 128",2014,"Czech Republic","Germany","qualifier",
"Andreas Haider-Maurer",,"AUT","Kyle Edmund",,"GBR","63 764 62","Round of 128",2014,"Austria","Great Britain",,"wildcard"
"Santiago Giraldo",,"COL","Daniel Gimeno-Traver",,"ESP","61 75 60","Round of 128",2014,"Colombia","Spain",,
"Jeremy Chardy",,"FRA","Daniel Cox",,"GBR","62 763 676 63","Round of 128",2014,"France","Great Britain",,"wildcard"
"Simone Bolelli",,"ITA","Tatsuma Ito",,"JPN","75 763 36 765","Round of 128",2014,"Italy","Japan","lucky loser","qualifier"
"Benjamin Becker",,"GER","Donald Young",,"USA","64 63 64","Round of 128",2014,"Germany","United States",,
"Marcos Baghdatis",,"CYP","Dustin Brown",,"GER","64 75 26 764","Round of 128",2014,"Cyprus","Germany","wildcard",
"Denis Istomin",,"UZB","Dmitry Tursunov",32,"RUS","75 64 36 62","Round of 128",2014,"Uzbekistan","Russia",,
"Robin Haase",,"NED","Vasek Pospisil",31,"CAN","766 46 75 63","Round of 128",2014,"Netherlands","Canada",,
"Marcel Granollers",30,"ESP","Nicolas Mahut",,"FRA","64 766 677 64","Round of 128",2014,"Spain","France",,
"Frank Dancevic",,"CAN","Ivo Karlovic",29,"CRO","64 765 764","Round of 128",2014,"Canada","Croatia","lucky loser",
"Dusan Lajovic",,"SRB","Guillermo Garcia-Lopez",28,"ESP","765 62 36 36 63","Round of 128",2014,"Serbia","Spain",,
"Roberto Bautista Agut",27,"ESP","Steve Johnson",,"USA","63 673 64 75","Round of 128",2014,"Spain","United States",,
"Marin Cilic",26,"CRO","Paul-Henri Mathieu",,"FRA","64 672 62 61","Round of 128",2014,"Croatia","France",,
"Leonardo Mayer",,"ARG","Andreas Seppi",25,"ITA","63 26 46 765 64","Round of 128",2014,"Argentina","Italy",,
"Gael Monfils",24,"FRA","Malek Jaziri",,"TUN","765 75 64","Round of 128",2014,"France","Tunisia",,"lucky loser"
"Tommy Robredo",23,"ESP","Lukas Lacko",,"SVK","765 16 62 64","Round of 128",2014,"Spain","Slovakia",,
"Philipp Kohlschreiber",22,"GER","Igor Sijsling",,"NED","64 64 62","Round of 128",2014,"Germany","Netherlands",,
"Alexandr Dolgopolov",21,"UKR","Sam Groth",,"AUS","75 762 765","Round of 128",2014,"Ukraine","Australia",,"qualifier"
"Kevin Anderson",20,"RSA","Aljaz Bedene",,"GBR","63 75 62","Round of 128",2014,"South Africa","Great Britain",,"lucky loser"
"Feliciano Lopez",19,"ESP","Yuichi Sugita",,"JPN","766 766 767","Round of 128",2014,"Spain","Japan",,"qualifier"
"Marinko Matosevic",,"AUS","Fernando Verdasco",18,"ESP","64 46 64 62","Round of 128",2014,"Australia","Spain",,
"Mikhail Youzhny",17,"RUS","James Ward",,"GBR","62 62 61","Round of 128",2014,"Russia","Great Britain",,"wildcard"
"Fabio Fognini",16,"ITA","Alex Kuznetsov",,"USA","26 16 64 61 97","Round of 128",2014,"Italy","United States",,"qualifier"
"Jerzy Janowicz",15,"POL","Somdev Devvarman",,"IND","46 63 63 36 63","Round of 128",2014,"Poland","India",,
"Jo-Wilfried Tsonga",14,"FRA","Jurgen Melzer",,"AUT","61 36 36 62 64","Round of 128",2014,"France","Austria",,
"Richard Gasquet",13,"FRA","James Duckworth",,"AUS","673 63 36 60 61","Round of 128",2014,"France","Australia",,"qualifier"
"Ernests Gulbis",12,"LAT","Jurgen Zopp",,"EST","767 75 7610","Round of 128",2014,"Latvia","Estonia",,
"Grigor Dimitrov",11,"BUL","Ryan Harrison",,"USA","761 63 62","Round of 128",2014,"Bulgaria","United States",,"qualifier"
"Kei Nishikori",10,"JPN","Kenny De Schepper",,"FRA","64 765 75","Round of 128",2014,"Japan","France",,
"John Isner",9,"USA","Daniel Smethurst",,"GBR","75 63 64","Round of 128",2014,"United States","Great Britain",,"wildcard"
"Milos Raonic",8,"CAN","Matthew Ebden",,"AUS","62 64 64","Round of 128",2014,"Canada","Australia",,
"David Ferrer",7,"ESP","Pablo Carreno Busta",,"ESP","60 673 61 61","Round of 128",2014,"Spain","Spain",,
"Tomas Berdych",6,"CZE","Victor Hanescu",,"ROU","675 61 64 63","Round of 128",2014,"Czech Republic","Romania",,
"Stan Wawrinka",5,"SUI","Joao Sousa",,"POR","63 64 63","Round of 128",2014,"Switzerland","Portugal",,
"Roger Federer",4,"SUI","Paolo Lorenzi",,"ITA","61 61 63","Round of 128",2014,"Switzerland","Italy",,
"Andy Murray",3,"GBR","David Goffin",,"BEL","61 64 75","Round of 128",2014,"Great Britain","Belgium",,
"Rafael Nadal",2,"ESP","Martin Klizan",,"SVK","46 63 63 63","Round of 128",2014,"Spain","Slovakia",,
"Novak Djokovic",1,"SRB","Andrey Golubev",,"KAZ","60 61 64","Round of 128",2014,"Serbia","Kazakhstan",,
"Gilles Simon",,"FRA","Robin Haase",,"NED","761 64 64","Round of 64",2014,"France","Netherlands",,
"Leonardo Mayer",,"ARG","Marcos Baghdatis",,"CYP","764 46 61 64","Round of 64",2014,"Argentina","Cyprus",,"wildcard"
"Mikhail Kukushkin",,"KAZ","Frank Dancevic",,"CAN","63 63 62","Round of 64",2014,"Kazakhstan","Canada",,"lucky loser"
"Lukasz Kubot",,"POL","Dusan Lajovic",,"SRB","674 764 63 763","Round of 64",2014,"Poland","Serbia",,
"Denis Istomin",,"UZB","Julian Reister",,"GER","767 64 64","Round of 64",2014,"Uzbekistan","Germany",,
"Jeremy Chardy",,"FRA","Marinko Matosevic",,"AUS","675 767 769 46 75","Round of 64",2014,"France","Australia",,
"Santiago Giraldo",,"COL","Marcel Granollers",30,"ESP","46 762 16 61 75","Round of 64",2014,"Colombia","Spain",,
"Roberto Bautista Agut",27,"ESP","Jan Hernych",,"CZE","75 46 62 62","Round of 64",2014,"Spain","Czech Republic",,"qualifier"
"Marin Cilic",26,"CRO","Andreas Haider-Maurer",,"AUT","36 61 64 64","Round of 64",2014,"Croatia","Austria",,
"Jiri Vesely",,"CZE","Gael Monfils",24,"FRA","763 63 671 673 64","Round of 64",2014,"Czech Republic","France","wildcard",
"Tommy Robredo",23,"ESP","Adrian Mannarino",,"FRA","64 61 765","Round of 64",2014,"Spain","France",,
"Simone Bolelli",,"ITA","Philipp Kohlschreiber",22,"GER","46 64 63 26 75","Round of 64",2014,"Italy","Germany","lucky loser",
"Alexandr Dolgopolov",21,"UKR","Benjamin Becker",,"GER","674 760 63 64","Round of 64",2014,"Ukraine","Germany",,
"Kevin Anderson",20,"RSA","Edouard Roger-Vasselin",,"FRA","76 16 63 64","Round of 64",2014,"South Africa","France",,
"Feliciano Lopez",19,"ESP","Ante Pavic",,"CRO","64 764 75","Round of 64",2014,"Spain","Croatia",,"qualifier"
"Jimmy Wang",,"TPE","Mikhail Youzhny",17,"RUS","761 62 675 63","Round of 64",2014,"Chinese Taipei","Russia","qualifier",
"Fabio Fognini",16,"ITA","Tim Puetz",,"GER","26 64 766 63","Round of 64",2014,"Italy","Germany",,"qualifier"
"Jerzy Janowicz",15,"POL","Lleyton Hewitt",,"AUS","75 64 677 46 63","Round of 64",2014,"Poland","Australia",,
"Jo-Wilfried Tsonga",14,"FRA","Sam Querrey",,"USA","46 762 674 63 1412","Round of 64",2014,"France","United States",,
"Nick Kyrgios",,"AUS","Richard Gasquet",13,"FRA","36 674 64 75 108","Round of 64",2014,"Australia","France","wildcard",
"Sergiy Stakhovsky",,"UKR","Ernests Gulbis",12,"LAT","64 63 765","Round of 64",2014,"Ukraine","Latvia",,
"Grigor Dimitrov",11,"BUL","Luke Saville",,"AUS","63 62 64","Round of 64",2014,"Bulgaria","Australia",,"qualifier"
"Kei Nishikori",10,"JPN","Denis Kudla",,"USA","63 62 61","Round of 64",2014,"Japan","United States",,"qualifier"
"John Isner",9,"USA","Jarkko Nieminen",,"FIN","7617 763 75","Round of 64",2014,"United States","Finland",,
"Milos Raonic",8,"CAN","Jack Sock",,"USA","63 64 64","Round of 64",2014,"Canada","United States",,
"Andrey Kuznetsov",,"RUS","David Ferrer",7,"ESP","675 60 36 63 62","Round of 64",2014,"Russia","Spain",,
"Tomas Berdych",6,"CZE","Bernard Tomic",,"AUS","46 765 763 61","Round of 64",2014,"Czech Republic","Australia",,
"Stan Wawrinka",5,"SUI","Yen-Hsun Lu",,"TPE","766 63 36 75","Round of 64",2014,"Switzerland","Chinese Taipei",,
"Roger Federer",4,"SUI","Gilles Muller",,"LUX","63 75 63","Round of 64",2014,"Switzerland","Luxembourg",,"qualifier"
"Andy Murray",3,"GBR","Blaz Rola",,"SLO","61 61 60","Round of 64",2014,"Great Britain","Slovenia",,
"Rafael Nadal",2,"ESP","Lukas Rosol",,"CZE","46 766 64 64","Round of 64",2014,"Spain","Czech Republic",,
"Novak Djokovic",1,"SRB","Radek Stepanek",,"CZE","64 63 675 765","Round of 64",2014,"Serbia","Czech Republic",,
"Leonardo Mayer",,"ARG","Andrey Kuznetsov",,"RUS","64 761 63","Round of 32",2014,"Argentina","Russia",,
"Nick Kyrgios",,"AUS","Jiri Vesely",,"CZE","36 63 75 62","Round of 32",2014,"Australia","Czech Republic","wildcard","wildcard"
"Jeremy Chardy",,"FRA","Sergiy Stakhovsky",,"UKR","63 674 63 60","Round of 32",2014,"France","Ukraine",,
"Kevin Anderson",20,"RSA","Fabio Fognini",16,"ITA","46 64 26 62 61","Round of 32",2014,"South Africa","Italy",,
"Tommy Robredo",23,"ESP","Jerzy Janowicz",15,"POL","62 64 675 46 63","Round of 32",2014,"Spain","Poland",,
"Jo-Wilfried Tsonga",14,"FRA","Jimmy Wang",,"TPE","62 62 75","Round of 32",2014,"France","Chinese Taipei",,"qualifier"
"Grigor Dimitrov",11,"BUL","Alexandr Dolgopolov",21,"UKR","673 64 26 64 61","Round of 32",2014,"Bulgaria","Ukraine",,
"Kei Nishikori",10,"JPN","Simone Bolelli",,"ITA","36 63 46 764 64","Round of 32",2014,"Japan","Italy",,"lucky loser"
"Feliciano Lopez",19,"ESP","John Isner",9,"USA","678 766 763 75","Round of 32",2014,"Spain","United States",,
"Milos Raonic",8,"CAN","Lukasz Kubot",,"POL","762 764 62","Round of 32",2014,"Canada","Poland",,
"Marin Cilic",26,"CRO","Tomas Berdych",6,"CZE","765 64 766","Round of 32",2014,"Croatia","Czech Republic",,
"Stan Wawrinka",5,"SUI","Denis Istomin",,"UZB","63 63 64","Round of 32",2014,"Switzerland","Uzbekistan",,
"Roger Federer",4,"SUI","Santiago Giraldo",,"COL","63 61 63","Round of 32",2014,"Switzerland","Colombia",,
"Andy Murray",3,"GBR","Roberto Bautista Agut",27,"ESP","62 63 62","Round of 32",2014,"Great Britain","Spain",,
"Rafael Nadal",2,"ESP","Mikhail Kukushkin",,"KAZ","674 61 61 61","Round of 32",2014,"Spain","Kazakhstan",,
"Novak Djokovic",1,"SRB","Gilles Simon",,"FRA","64 62 64","Round of 32",2014,"Serbia","France",,
"Marin Cilic",26,"CRO","Jeremy Chardy",,"FRA","768 64 64","Round of 16",2014,"Croatia","France",,
"Grigor Dimitrov",11,"BUL","Leonardo Mayer",,"ARG","64 766 62","Round of 16",2014,"Bulgaria","Argentina",,
"Milos Raonic",8,"CAN","Kei Nishikori",10,"JPN","46 61 764 63","Round of 16",2014,"Canada","Japan",,
"Stan Wawrinka",5,"SUI","Feliciano Lopez",19,"ESP","765 767 63","Round of 16",2014,"Switzerland","Spain",,
"Roger Federer",4,"SUI","Tommy Robredo",23,"ESP","61 64 64","Round of 16",2014,"Switzerland","Spain",,
"Andy Murray",3,"GBR","Kevin Anderson",20,"RSA","64 63 766","Round of 16",2014,"Great Britain","South Africa",,
"Nick Kyrgios",,"AUS","Rafael Nadal",2,"ESP","765 57 765 63","Round of 16",2014,"Australia","Spain","wildcard",
"Novak Djokovic",1,"SRB","Jo-Wilfried Tsonga",14,"FRA","63 64 765","Round of 16",2014,"Serbia","France",,
"Milos Raonic",8,"CAN","Nick Kyrgios",,"AUS","674 62 64 764","Quarter-Finals",2014,"Canada","Australia",,"wildcard"
"Roger Federer",4,"SUI","Stan Wawrinka",5,"SUI","36 765 64 64","Quarter-Finals",2014,"Switzerland","Switzerland",,
"Grigor Dimitrov",11,"BUL","Andy Murray",3,"GBR","61 764 62","Quarter-Finals",2014,"Bulgaria","Great Britain",,
"Novak Djokovic",1,"SRB","Marin Cilic",26,"CRO","61 36 674 62 62","Quarter-Finals",2014,"Serbia","Croatia",,
"Roger Federer",4,"SUI","Milos Raonic",8,"CAN","64 64 64","Semi-Finals",2014,"Switzerland","Canada",,
"Novak Djokovic",1,"SRB","Grigor Dimitrov",11,"BUL","64 36 762 767","Semi-Finals",2014,"Serbia","Bulgaria",,
"Novak Djokovic",1,"SRB","Roger Federer",4,"SUI","677 64 764 57 64","Finals",2014,"Serbia","Switzerland",,
"Grega Zemlja",,"SLO","Michael Russell",,"USA","673 64 64 61","Round of 128",2013,"Slovenia","United States",,
"Jimmy Wang",,"TPE","Wayne Odesnik",,"USA","765 46 62 36 75","Round of 128",2013,"Chinese Taipei","United States","qualifier","qualifier"
"Fernando Verdasco",,"ESP","Xavier Malisse",,"BEL","675 61 64 63","Round of 128",2013,"Spain","Belgium",,
"Jan-Lennard Struff",,"GER","Blaz Kavcic",,"SLO","64 61 63","Round of 128",2013,"Germany","Slovenia","qualifier",
"Radek Stepanek",,"CZE","Matt Reid",,"AUS","62 62 64","Round of 128",2013,"Czech Republic","Australia",,"qualifier"
"Sergiy Stakhovsky",,"UKR","Rogerio Dutra Silva",,"BRA","64 60 64","Round of 128",2013,"Ukraine","Brazil",,
"Go Soeda",,"JPN","Andreas Haider-Maurer",,"AUT","766 75 61","Round of 128",2013,"Japan","Austria","qualifier",
"Igor Sijsling",,"NED","Alex Kuznetsov",,"USA","63 64 64","Round of 128",2013,"Netherlands","United States",,"qualifier"
"Guillaume Rufin",,"FRA","Marinko Matosevic",,"AUS","61 46 64 63","Round of 128",2013,"France","Australia",,
"Stephane Robert",,"FRA","Alejandro Falla",,"COL","63 765 75","Round of 128",2013,"France","Colombia","qualifier",
"Bobby Reynolds",,"USA","Steve Johnson",,"USA","16 764 63 674 64","Round of 128",2013,"United States","United States","qualifier","wildcard"
"Julian Reister",,"GER","Lukas Rosol",,"CZE","63 46 765 674 64","Round of 128",2013,"Germany","Czech Republic","qualifier",
"Rajeev Ram",,"USA","Lukas Lacko",,"SVK","75 64 672 62","Round of 128",2013,"United States","Slovakia",,
"Michal Przysiezny",,"POL","Philipp Petzschner",,"GER","63 766 60","Round of 128",2013,"Poland","Germany","qualifier",
"Vasek Pospisil",,"CAN","Marc Gicquel",,"FRA","63 62 763","Round of 128",2013,"Canada","France",,"qualifier"
"Leonardo Mayer",,"ARG","Aljaz Bedene",,"GBR","62 63 64","Round of 128",2013,"Argentina","Great Britain",,
"Paul-Henri Mathieu",,"FRA","Ricardas Berankis",,"LTU","764 75 673 64","Round of 128",2013,"France","Lithuania",,
"Adrian Mannarino",,"FRA","Pablo Andujar",,"ESP","61 62 63","Round of 128",2013,"France","Spain",,
"Nicolas Mahut",,"FRA","Jan Hajek",,"CZE","62 64 63","Round of 128",2013,"France","Czech Republic","wildcard",
"Yen-Hsun Lu",,"TPE","James Ward",,"GBR","674 64 7611 764","Round of 128",2013,"Chinese Taipei","Great Britain",,"wildcard"
"Michael Llodra",,"FRA","Jarkko Nieminen",,"FIN","763 64 63","Round of 128",2013,"France","Finland",,
"Jesse Levine",,"CAN","Guido Pella",,"ARG","64 62 46 36 43 (RET)","Round of 128",2013,"Canada","Argentina",,
"Andrey Kuznetsov",,"RUS","Albert Montanes",,"ESP","63 64 36 63","Round of 128",2013,"Russia","Spain",,
"Denis Kudla",,"USA","James Duckworth",,"AUS","64 62 36 46 61","Round of 128",2013,"United States","Australia","qualifier","qualifier"
"Lukasz Kubot",,"POL","Igor Andreev",,"RUS","61 75 62","Round of 128",2013,"Poland","Russia",,
"Ernests Gulbis",,"LAT","Edouard Roger-Vasselin",,"FRA","761 64 75","Round of 128",2013,"Latvia","France",,
"Santiago Giraldo",,"COL","Horacio Zeballos",,"ARG","36 764 676 61 63","Round of 128",2013,"Colombia","Argentina",,
"Kenny De Schepper",,"FRA","Paolo Lorenzi",,"ITA","766 64 62","Round of 128",2013,"France","Italy",,
"Dustin Brown",,"GER","Guillermo Garcia-Lopez",,"ESP","63 63 63","Round of 128",2013,"Germany","Spain","qualifier",
"Daniel Brands",,"GER","Daniel Gimeno-Traver",,"ESP","765 674 675 61 64","Round of 128",2013,"Germany","Spain",,
"James Blake",,"USA","Thiemo de Bakker",,"NED","61 63 62","Round of 128",2013,"United States","Netherlands",,
"Roberto Bautista Agut",,"ESP","Teymuraz Gabashvili",,"RUS","63 64 763","Round of 128",2013,"Spain","Russia",,"qualifier"
"Tommy Robredo",32,"ESP","Alex Bogomolov Jr.",,"RUS","62 62 64","Round of 128",2013,"Spain","Russia",,
"Julien Benneteau",31,"FRA","Tobias Kamke",,"GER","64 675 64 62","Round of 128",2013,"France","Germany",,
"Jurgen Melzer",,"AUT","Fabio Fognini",30,"ITA","675 75 63 62","Round of 128",2013,"Austria","Italy",,
"Grigor Dimitrov",29,"BUL","Simone Bolelli",,"ITA","61 64 63","Round of 128",2013,"Bulgaria","Italy",,
"Jeremy Chardy",28,"FRA","Ryan Harrison",,"USA","764 46 75 62","Round of 128",2013,"France","United States",,
"Kevin Anderson",27,"RSA","Olivier Rochus",,"BEL","64 62 61","Round of 128",2013,"South Africa","Belgium",,"lucky loser"
"Alexandr Dolgopolov",26,"UKR","Gastao Elias",,"POR","61 762 62","Round of 128",2013,"Ukraine","Portugal",,
"Benoit Paire",25,"FRA","Adrian Ungur",,"ROU","64 46 63 61","Round of 128",2013,"France","Romania",,
"Jerzy Janowicz",24,"POL","Kyle Edmund",,"GBR","62 62 64","Round of 128",2013,"Poland","Great Britain",,"wildcard"
"Andreas Seppi",23,"ITA","Denis Istomin",,"UZB","766 763 57 36 63","Round of 128",2013,"Italy","Uzbekistan",,
"Juan Monaco",22,"ARG","Bastian Knittel",,"GER","64 62 63","Round of 128",2013,"Argentina","Germany",,"qualifier"
"Bernard Tomic",,"AUS","Sam Querrey",21,"USA","766 763 36 26 63","Round of 128",2013,"Australia","United States",,
"Mikhail Youzhny",20,"RUS","Robin Haase",,"NED","64 75 75","Round of 128",2013,"Russia","Netherlands",,
"Feliciano Lopez",,"ESP","Gilles Simon",19,"FRA","62 64 7611","Round of 128",2013,"Spain","France",,
"John Isner",18,"USA","Evgeny Donskoy",,"RUS","61 765 763","Round of 128",2013,"United States","Russia",,
"Milos Raonic",17,"CAN","Carlos Berlocq",,"ARG","64 63 63","Round of 128",2013,"Canada","Argentina",,
"Ivan Dodig",,"CRO","Philipp Kohlschreiber",16,"GER","46 676 763 63 21 (RET)","Round of 128",2013,"Croatia","Germany",,
"Nicolas Almagro",15,"ESP","Jurgen Zopp",,"EST","64 762 75","Round of 128",2013,"Spain","Estonia",,
"Viktor Troicki",,"SRB","Janko Tipsarevic",14,"SRB","63 64 765","Round of 128",2013,"Serbia","Serbia",,
"Tommy Haas",13,"GER","Dmitry Tursunov",,"RUS","63 75 75","Round of 128",2013,"Germany","Russia",,
"Kei Nishikori",12,"JPN","Matthew Ebden",,"AUS","62 64 63","Round of 128",2013,"Japan","Australia",,"wildcard"
"Lleyton Hewitt",,"AUS","Stan Wawrinka",11,"SUI","64 75 63","Round of 128",2013,"Australia","Switzerland",,
"Marin Cilic",10,"CRO","Marcos Baghdatis",,"CYP","63 64 64","Round of 128",2013,"Croatia","Cyprus",,
"Richard Gasquet",9,"FRA","Marcel Granollers",,"ESP","672 64 75 64","Round of 128",2013,"France","Spain",,
"Juan Martin Del Potro",8,"ARG","Albert Ramos-Vinolas",,"ESP","62 75 61","Round of 128",2013,"Argentina","Spain",,
"Tomas Berdych",7,"CZE","Martin Klizan",,"SVK","63 64 64","Round of 128",2013,"Czech Republic","Slovakia",,
"Jo-Wilfried Tsonga",6,"FRA","David Goffin",,"BEL","764 64 63","Round of 128",2013,"France","Belgium",,
"Steve Darcis",,"BEL","Rafael Nadal",5,"ESP","764 768 64","Round of 128",2013,"Belgium","Spain",,
"David Ferrer",4,"ESP","Martin Alund",,"ARG","61 46 75 62","Round of 128",2013,"Spain","Argentina",,
"Roger Federer",3,"SUI","Victor Hanescu",,"ROU","63 62 60","Round of 128",2013,"Switzerland","Romania",,
"Andy Murray",2,"GBR","Benjamin Becker",,"GER","64 63 62","Round of 128",2013,"Great Britain","Germany",,
"Novak Djokovic",1,"SRB","Florian Mayer",,"GER","63 75 64","Round of 128",2013,"Serbia","Germany",,
"Viktor Troicki",,"SRB","Andrey Kuznetsov",,"RUS","64 63 64","Round of 64",2013,"Serbia","Russia",,
"Bernard Tomic",,"AUS","James Blake",,"USA","63 64 75","Round of 64",2013,"Australia","United States",,
"Jurgen Melzer",,"AUT","Julian Reister",,"GER","36 762 765 62","Round of 64",2013,"Austria","Germany",,"qualifier"
"Feliciano Lopez",,"ESP","Paul-Henri Mathieu",,"FRA","63 51 (RET)","Round of 64",2013,"Spain","France",,
"Lukasz Kubot",,"POL","Steve Darcis",,"BEL","(W/O)","Round of 64",2013,"Poland","Belgium",,
"Ivan Dodig",,"CRO","Denis Kudla",,"USA","61 764 75","Round of 64",2013,"Croatia","United States",,"qualifier"
"Dustin Brown",,"GER","Lleyton Hewitt",,"AUS","64 64 673 62","Round of 64",2013,"Germany","Australia","qualifier",
"Tommy Robredo",32,"ESP","Nicolas Mahut",,"FRA","763 61 765","Round of 64",2013,"Spain","France",,"wildcard"
"Fernando Verdasco",,"ESP","Julien Benneteau",31,"FRA","761 764 64","Round of 64",2013,"Spain","France",,
"Grega Zemlja",,"SLO","Grigor Dimitrov",29,"BUL","36 764 36 64 119","Round of 64",2013,"Slovenia","Bulgaria",,
"Jeremy Chardy",28,"FRA","Jan-Lennard Struff",,"GER","62 57 766 764","Round of 64",2013,"France","Germany",,"qualifier"
"Kevin Anderson",27,"RSA","Michal Przysiezny",,"POL","64 762 64","Round of 64",2013,"South Africa","Poland",,"qualifier"
"Alexandr Dolgopolov",26,"UKR","Santiago Giraldo",,"COL","64 75 63","Round of 64",2013,"Ukraine","Colombia",,
"Benoit Paire",25,"FRA","Stephane Robert",,"FRA","64 75 64","Round of 64",2013,"France","France",,"qualifier"
"Jerzy Janowicz",24,"POL","Radek Stepanek",,"CZE","62 53 (RET)","Round of 64",2013,"Poland","Czech Republic",,
"Andreas Seppi",23,"ITA","Michael Llodra",,"FRA","75 (RET)","Round of 64",2013,"Italy","France",,
"Juan Monaco",22,"ARG","Rajeev Ram",,"USA","57 62 64 62","Round of 64",2013,"Argentina","United States",,
"Mikhail Youzhny",20,"RUS","Vasek Pospisil",,"CAN","62 673 767 36 64","Round of 64",2013,"Russia","Canada",,
"Adrian Mannarino",,"FRA","John Isner",18,"USA","11 (RET)","Round of 64",2013,"France","United States",,
"Igor Sijsling",,"NED","Milos Raonic",17,"CAN","75 64 764","Round of 64",2013,"Netherlands","Canada",,
"Nicolas Almagro",15,"ESP","Guillaume Rufin",,"FRA","75 676 63 64","Round of 64",2013,"Spain","France",,
"Tommy Haas",13,"GER","Jimmy Wang",,"TPE","63 62 75","Round of 64",2013,"Germany","Chinese Taipei",,"qualifier"
"Kei Nishikori",12,"JPN","Leonardo Mayer",,"ARG","765 64 62","Round of 64",2013,"Japan","Argentina",,
"Kenny De Schepper",,"FRA","Marin Cilic",10,"CRO","(W/O)","Round of 64",2013,"France","Croatia",,
"Richard Gasquet",9,"FRA","Go Soeda",,"JPN","60 63 675 63","Round of 64",2013,"France","Japan",,"qualifier"
"Juan Martin Del Potro",8,"ARG","Jesse Levine",,"CAN","62 767 63","Round of 64",2013,"Argentina","Canada",,
"Tomas Berdych",7,"CZE","Daniel Brands",,"GER","766 64 62","Round of 64",2013,"Czech Republic","Germany",,
"Ernests Gulbis",,"LAT","Jo-Wilfried Tsonga",6,"FRA","36 63 63 (RET)","Round of 64",2013,"Latvia","France",,
"David Ferrer",4,"ESP","Roberto Bautista Agut",,"ESP","63 36 764 75","Round of 64",2013,"Spain","Spain",,
"Sergiy Stakhovsky",,"UKR","Roger Federer",3,"SUI","675 765 75 765","Round of 64",2013,"Ukraine","Switzerland",,
"Andy Murray",2,"GBR","Yen-Hsun Lu",,"TPE","63 63 75","Round of 64",2013,"Great Britain","Chinese Taipei",,
